1,2,4,0.000000,48.000000,0.483705,7.053706,-7.053706,2.602703
2,2,4,1.000000,61.000000,0.619640,6.083956,-6.083956,2.338790
3,2,4,2.000000,62.000000,0.627358,5.988651,-5.988651,2.313444
4,2,4,3.000000,46.000000,0.469983,6.514672,-6.514672,2.454690
5,4,8,0.000000,42.000000,0.421098,6.184033,-6.184033,2.365523
6,4,8,1.000000,40.000000,0.409091,7.120236,-7.120236,2.621188
7,4,8,2.000000,50.000000,0.504717,6.038389,-6.038389,2.326658
8,4,8,3.000000,44.000000,0.444683,4.184517,-4.184517,1.856351
9,8,16,0.000000,31.000000,0.317753,7.204021,-7.204021,2.644534
10,8,16,1.000000,28.000000,0.281304,7.380238,-7.380238,2.693868
11,8,16,2.000000,25.000000,0.255146,8.628353,-8.628353,3.051687
12,8,16,3.000000,25.000000,0.251715,9.673892,-9.673892,3.361292
13,32,16,0.000000,12.000000,0.125643,11.413790,-11.413790,3.892172
14,32,16,1.000000,9.000000,0.094768,12.275221,-12.275221,4.160744
15,32,16,2.000000,14.000000,0.147084,11.394036,-11.394036,3.886053
16,32,16,3.000000,11.000000,0.111921,11.716483,-11.716483,3.986168
17,32,64,0.000000,3.000000,0.039022,15.116027,-15.116027,5.065185
18,32,64,1.000000,3.000000,0.035592,15.055283,-15.055283,5.045613
19,32,64,2.000000,4.000000,0.043310,14.847413,-14.847413,4.978700
20,32,64,3.000000,3.000000,0.030446,15.119414,-15.119414,5.066276
21,64,128,0.000000,0.000000,0.005146,18.140784,-18.140784,6.048206
22,64,128,1.000000,0.000000,0.007719,17.877043,-17.877043,5.961957
23,64,128,2.000000,0.000000,0.008576,18.090090,-18.090090,6.031621
24,64,128,3.000000,0.000000,0.005575,18.001635,-18.001635,6.002691
25,128,256,0.000000,0.000000,0.001715,20.785880,-20.785880,6.916909
26,128,256,1.000000,0.000000,0.000000,20.841467,-20.841467,6.935222
27,128,256,2.000000,0.000000,0.000429,21.110208,-21.110208,7.023789
28,128,256,3.000000,0.000000,0.000858,20.805103,-20.805103,6.923242
29,256,512,0.000000,0.000000,0.000000,23.666648,-23.666648,7.868079
30,256,512,1.000000,0.000000,0.000000,23.671427,-23.671427,7.869659
31,256,512,2.000000,0.000000,0.000000,23.771424,-23.771424,7.902737
32,256,512,3.000000,0.000000,0.00000001,23.695614,-23.695614,7.877660

